SYMBOL,29 jan 2020,30 jan 2020,31 jan 2020
NCC,0.79999924,2.3999996,1.5100021,
NCLIND,2.8499985,0.69999886,1.0300026,
NDGL,9.099976,0.5,1.1000004,
NDL,1.5499992,0.5,41.950012,
NDTV,0.79999924,2.6500015,12.0,
NECCLTD,0.35000038,10.949997,0.6999998,
NECLIFE,0.6999998,32.799988,0.75,
NELCAST,1.6000023,33.599976,11.0,
NELCO,4.600006,339.5996,1.7900391,
NEOGEN,22.399994,0.5200043,7.9000244,
NESCO,10.0,0.4699974,3.0,
NESTLEIND,459.9502,3.0900002,9.880005,
NETF,0.91000366,0.060001373,0.0,
NETFCONSUM,1.2599983,0.8500061,0.0,
NETFDIVOPP,0.25,0.0,2.75,
NETFLTGILT,0.069999695,0.8499985,216.80005,
NETFMID150,0.7900009,1.5499992,1.8900146,
NETFNIF100,1.199997,22.600006,90.0,
NETFNV20,0.6499977,8.0,1.4499989,
NETWORK18,0.94999886,0.7999997,28.0,
NEULANDLAB,33.950012,1.0999985,4.350006,
NEWGEN,13.449997,14.950012,0.3000002,
NEXTMEDIA,0.6000004,5.7800293,1.5299911,
NFL,0.70000076,19.0,2.5499954,
NH,22.200012,0.100097656,110.54993,
NHAI,2.9000244,2.5,0.1500001,
NHAI,8.099976,12.97998,0.049999952,
NHAI,8.5,0.0,33.75,
NHAI,1.0,2.9899902,13.649994,
NHAI,2.4899902,1.9100342,0.70000076,
NHAI,216.90002,45.0,0.099999994,
NHAI,39.900024,1.3500004,1.6500015,
NHBTF2014,15.0,2.0,0.0,
NHBTF2023,38.0,8.149994,1.75,
NHPC,1.75,0.3000002,6.100006,
NIACL,5.0,1.5,10.800003,
NIBL,0.099999905,0.0,0.29999995,
NIFTYBEES,1.1499939,2.4000015,0.91000366,
NIFTYEES,148.0,102.94995,11.800003,
NIITLTD,1.3499985,0.25,4.4000015,
NIITTECH,121.55005,0.0,29.0,
NILAINFRA,0.4500003,51.0,0.099999994,
NILASPACES,0.05000007,15.950012,3.75,
NILKAMAL,29.800049,0.95000076,0.0,
NIPPOBATRY,8.200012,0.050000012,42.0,
NITCO,1.25,4.4000015,0.17000008,
NITINFIRE,0.050000012,1.7999992,0.0,
NITINSPIN,3.8500023,1.75,0.0,
NKIND,0.0,4.9500046,12.950012,
NLCINDIA,1.4000015,9.849998,14.650024,
NMDC,4.449997,0.29999995,9.149994,
NOCIL,1.7000046,1.699997,21.900024,
NOIDATOLL,0.25,16.0,27.549988,
NORBTEAEXP,0.0,3.75,129.5,
NPBET,2.1599884,28.950012,11.049995,
NRAIL,14.899994,0.050000012,0.25,
NRBBEARING,2.449997,2.75,0.20000005,
NSIL,35.650024,7.550049,4.0,
NTL,0.099999994,31.579956,11.700001,
NTPC,3.1500015,0.119999886,3.649994,
NTPC,0.0,0.0,0.25,
NTPC,0.0,8.899994,1.2000008,
NTPC,27.0,11.900024,0.7500005,
NTPC,0.16999912,12.550003,0.54999924,
NTPC,0.0,29.75,9.25,
NTPC,0.0,21.900024,0.6500015,
NTPC,0.0,96.55005,1.5000038,
NUCLEUS,14.350006,3.25,2.2999992,
NXTDIGITAL,21.799988,0.0,0.1500001,
OAL,9.649994,0.099999905,2.5999985,
OBEROIRLTY,16.950012,6.300003,0.70000076,
OCCL,23.900024,5.6499977,0.69999886,
OFSS,81.84985,7.75,0.3000002,
OIL,4.449997,0.25,1.8500023,
OILCOUNTUB,0.099999905,1.2999992,6.199997,
OISL,0.1500001,0.5999994,5.0,
OLECTRA,6.699997,1.3999996,20.000015,
OMAXAUTO,2.0,2.550003,0.6000004,
OMAXE,3.449997,0.95000076,0.34999847,
OMKARCHEM,0.20000029,1.949997,1.1500015,
OMMETALS,0.6000004,2.6500015,6.150009,
ONELIFECAP,0.35000038,0.099999905,86.75,
ONEPOINT,0.5,2.0,0.050000012,
ONGC,1.7000046,1.5499992,0.34999943,
ONMOBILE,0.80000114,0.8999996,0.0,
ONWARDTEC,1.3999977,0.19999981,0.8000002,
OPTIEMUS,1.3999996,1.0999985,0.1500001,
OPTOCIRCUI,0.099999905,4.0,617.8496,
ORBTEXP,1.4000015,3.75,21.0,
ORICONENT,0.79999924,12.849991,0.94999886,
ORIENTABRA,0.79999924,0.95000076,8.199997,
ORIENTALTL,0.9499998,1.5,3.0,
ORIENTBANK,0.9000015,0.79999924,3.2500038,
ORIENTBELL,6.449997,11.699997,5.100006,
ORIENTCEM,2.8499985,85.400024,0.0,
ORIENTELEC,24.5,0.100000024,0.39999962,
ORIENTHOT,1.0499992,0.40000057,9.550003,
ORIENTLTD,4.649994,0.5499997,0.099999905,
ORIENTPPR,0.5,0.20000005,0.79999924,
ORIENTREF,15.25,843.9512,1.1499996,
ORISSAMINE,138.30005,23.799988,0.4000001,
ORTEL,0.050000012,0.6000004,0.5,
ORTINLABSS,0.5500002,0.6500015,1.1500015,
OSWALAGRO,0.8999996,2.5,0.0,
PAEL,0.1500001,4.3499985,9.950012,
PAGEIND,729.1992,3.2999992,0.0,
PAISALO,21.199982,7.299988,87.0,
PALASHSECU,1.3500004,0.0,0.70000076,
PALREDTEC,1.6000004,0.6999998,0.5,
PANACEABIO,4.800003,7.399994,27.0,
PANACHE,1.75,0.10000014,0.5000005,
PANAMAPET,2.5,21.75,7.75,
PAPERPROD,7.0,1.8999996,5.449997,
PARABDRUGS,0.05000007,1.4500008,2.5100098,
PARACABLES,0.95000076,0.05000019,13.900024,
PARAGMILK,3.899994,0.6499996,135.5498,
PARSVNATH,0.1500001,0.6999998,7.299999,
PASHUPATI,0.5,0.049999952,1.2000008,
PATELENG,1.25,12.0,4.5999985,
PATINTLOG,1.1999989,0.5500002,203.2002,
PATSPINLTD,0.0,150.30005,143.1997,
PCJEWELLER,0.44999886,0.39999962,7.300003,
PDMJEPAPER,0.6000004,0.3000002,6.0,
PDPL,0.099999905,26.850037,31.0,
PDSMFL,10.5,0.4000001,32.75,
PEARLPOLY,0.79999924,7.75,67.0,
PEL,40.94995,3.75,31.300049,
PENIND,0.5999985,0.0,0.25,
PENINLAND,0.19999981,0.0,4.4500046,
PENTAGOLD,0.0,0.0,2.1499977,
PERSISTENT,42.849976,3.5,1.2999992,
PETRONENGG,0.5500002,145.5,8.899994,
PETRONET,5.100006,5.9000015,6.849991,
PFC,2.9000015,0.75,1.4000015,
PFC,1.4000244,3.7000046,0.55000114,
PFC,0.0,505.5996,16.75,
PFC,1.5100098,120.0,1.25,
PFIZER,109.0,7.550003,5.899994,
PFOCUS,1.5499992,7.049988,15.0,
PFS,0.8999996,28.799988,10.350006,
PGEL,2.7999954,50.0,5.199997,
PGHH,270.5,43.799927,38.700012,
PGHL,67.0,27.949951,26.399994,
PGIL,3.899994,0.3000002,24.600037,
PHILIPCARB,4.949997,4.199997,14.800003,
PHOENIXLTD,34.0,1.3500004,10.399994,
PIDILITIND,43.700073,0.79999924,38.849976,
PIIND,65.849976,11.300003,9.199997,
PILANIINVS,19.150024,5.549988,5.75,
PILITA,0.19999981,1.5999985,2.0999985,
PIONDIST,10.349991,0.45000076,0.0,
PIONEEREMB,1.3500004,14.549988,0.3000002,
PITTIENG,1.2000008,0.6000004,4.0999985,
PKTEA,11.0,3.449997,4.700001,
PLASTIBLEN,6.550003,6.049988,2.0,
PNB,0.70000076,8.0,4.700001,
PNBGILTS,0.25,3.1500015,8.5,
PNBHOUSING,12.899994,23.850037,3.75,
PNC,0.6000004,14.799988,0.0,
PNCINFRA,12.100006,22.5,1.5,
PODDARHOUS,8.0,10.800003,0.9000015,
PODDARMENT,11.5,3.850006,11.549988,
POKARNA,6.8499985,23.650024,1.7000008,
POLYCAB,29.0,15.549988,3.1500015,
POLYMED,55.0,5.25,7.050003,
POLYPLEX,15.400024,1.5,0.050000012,
PONNIERODE,6.699997,0.100000024,0.54999924,
POWERGRID,4.550003,0.3499999,2.300003,
POWERMECH,30.049988,3.8499985,1.0,
PPAP,8.800003,3.4000015,0.050000012,
PPL,2.4000015,1.4000015,11.149994,
PRABHAT,1.6499939,3.3500004,1.7900009,
PRADIP,0.050000012,9.5,2.1500015,
PRAENG,0.3000002,3.399994,0.9000015,
PRAJIND,2.2999954,0.25,48.80002,
PRAKASH,3.3500023,3.8500004,0.100000024,
PRAKASHSTL,0.0,9.899994,4.649994,
PRECAM,0.5,1.9000015,0.0,
PRECOT,3.25,2.4000015,46.450073,
PRECWIRE,6.899994,6.899994,6.199951,
PREMEXPLN,4.899994,0.0,6.0,
PREMIER,0.10000014,0.6000004,22.950012,
PREMIERPOL,2.4500008,2.1500015,4.399994,
PRESSMN,1.1499996,0.70000076,18.5,
PRESTIGE,13.75,0.0,1.0,
PRICOLLTD,3.2000008,11.799988,4.449997,
PRIMESECU,1.0499992,0.3900013,13.450012,
PRINCEPIPE,7.100006,1.4000015,0.05,
PRITI,12.0,0.5,2.6999989,
PROSEED,0.050000012,0.099998474,6.6500015,
PROZONINTU,0.54999924,24.299988,0.0,
PRSMJOHNSN,1.75,0.100000024,11.550003,
PSB,0.35000038,2.2000046,0.79999924,
PSL,0.050000012,0.0,3.8499985,
PSPPROJECT,21.0,53.0,17.450012,
PSUBNKBEES,0.34000015,17.800049,2.800003,
PTC,1.1500015,41.950012,7.649994,
PTL,0.70000076,4.1500015,1.5000019,
PUNJABCHEM,33.950012,0.100000024,0.25,
PUNJLLOYD,0.100000024,29.700012,8.5,
PURVA,2.75,1.3999996,23.950012,
PUSHPREALM,0.0,4.9000015,16.300049,
PVR,31.0,11.0,18.849976,
QGOLDHALF,8.0,0.05,17.25,
QNIFTY,0.0,1.3000011,11.149994,
QUESS,37.0,2.6499977,1.8500023,
QUICKHEAL,2.800003,5.650009,0.050000012,
RADAAN,0.0,1.1999998,6.949997,
RADICO,16.300018,3.7999992,0.0,
RADIOCITY,1.0499992,26.0,4.6500015,
RAIN,3.7000046,10.550003,1.6499977,
RAJESHEXPO,14.200012,11.399994,0.0,
RAJRAYON,0.05,1.1999989,22.200012,
RAJSREESUG,1.9500008,0.4000001,0.40000057,
RAJTV,4.0999985,10.0,46.05005,
RAJVIR,0.0,50.900024,1.3499985,
RALLIS,20.0,28.650024,1.2999992,
RAMANEWS,1.1999998,14.049988,9.800003,
RAMASTEEL,4.5,13.350037,0.3499999,
RAMCOCEM,58.349976,16.0,8.299988,
RAMCOIND,11.75,1.4500008,15.849976,
RAMCOSYS,13.449997,0.050000012,1.3500061,
RAMKY,3.1499996,3.1500092,24.0,
RAMSARUP,0.0,0.0,21.700012,
RANASUG,0.5,0.0,0.0,
RANEENGINE,24.25,0.0,33.990005,
RANEHOLDIN,44.049988,7.0,1.199997,
RATNAMANI,28.150024,6.4000015,1.5499992,
RAYMOND,13.299988,2.0499992,16.399994,
RBL,30.900024,0.0,11.449982,
RBLBANK,9.549988,15.0,0.25,
RCF,1.4000015,0.6499996,8.900024,
RCOM,0.100000024,0.0,0.5,
RECLTD,2.949997,39.69995,0.0,
RECLTD,4.98999,2.8499985,12.0,
RECLTD,1.5999756,2.1000004,0.0,
RECLTD,0.0,5.5499954,0.100000024,
RECLTD,0.0,0.25,2.300003,
REDINGTON,4.1500015,10.549988,0.049999952,
REFEX,1.4500008,1.9000015,0.20000005,
REGENCERAM,0.0,29.349976,1.949997,
RELAXO,10.700012,2.0999985,27.5,
RELCAPITAL,0.6999998,41.950012,0.0,
RELIANCE,30.349976,18.0,1.9000015,
RELIGARE,2.5999985,0.0,0.0,
RELINFRA,0.95000076,0.0,1.8500004,
RENUKA,0.39999962,0.0,4.699997,
REPCOHOME,14.25,0.0,3.5999985,
REPL,2.0,1.5,0.10000014,
REPRO,14.900024,12.600006,0.049999952,
RESPONIND,2.0,13.899994,13.050003,
REVATHI,42.5,0.25,0.0,
RGL,28.0,19.0,0.0,
RHFL,0.0,0.5,2.5499954,
RHFL,30.990005,16.0,10.199997,
RHFL,9.949997,0.0,2.850006,
RICOAUTO,1.0,0.099999994,1.25,
RIIL,19.0,4.8499985,0.099999905,
RITES,13.950012,0.049999952,4.25,
RKDL,0.2999997,0.1500001,1.1000023,
RKEC,2.0,0.0,22.0,
RKFORGE,13.850006,8.949982,2.800003,
RMCL,0.5499997,0.0,23.099976,
RMDRIP,0.14999962,2.25,1.75,
RML,9.600006,1.2000008,5.7000046,
RNAVAL,0.0,9.099998,0.4499998,
ROHITFERRO,0.050000012,1.5,6.599991,
ROHLTD,3.8499985,0.10000014,0.2999997,
ROLLT,0.049999952,0.05000007,3.399994,
ROLTA,0.19999981,19.699997,2.6500015,
ROSSELLIND,4.100006,0.0,0.1500001,
RPGLIFE,8.950012,0.0,9.800003,
RPOWER,0.0,2.75,0.20000005,
RPPINFRA,1.5999985,12.399994,0.6000004,
RPPL,0.0,4.550003,13.799988,
RSSOFTWARE,1.5,2.0,5.850006,
RSWM,4.4000015,0.100000024,3.4500008,
RSYSTEMS,1.8999939,6.699997,1.4000015,
RTNINFRA,0.10000014,3.7999992,1.6499996,
RTNPOWER,0.05000007,11.75,4.8499985,
RUBYMILLS,6.0,3.6500015,1.5,
RUCHI,0.0,14.650024,66.200195,
RUCHINFRA,0.0,1.1500015,0.100000024,
RUCHIRA,3.800003,5.0,10.050003,
RUPA,7.399994,0.6999998,6.0,
RUSHIL,4.899994,9.050003,1.4500008,
RVNL,1.9500008,0.3499999,0.0,
SABTN,0.100000024,3.5,21.049988,
SADBHAV,3.9000015,2.5,7.0,
SADBHIN,1.0,0.29999995,5.4000015,
SAFARI,8.0,4.6500015,6.199997,
SAGARDEEP,5.800003,0.10000014,2.949997,
SAGCEM,24.900024,1.0,22.849976,
SAIL,1.0,9.950012,13.100006,
SAKAR,4.2000046,11.0,389.7998,
SAKHTISUG,0.35000038,2.75,38.5,
SAKSOFT,2.949997,1.3500023,100.0,
SAKUMA,0.3000002,1.0,0.049999997,
SALASAR,4.550003,5.9000015,132.2002,
SALONA,4.0999985,1.0,5.0499954,
SALSTEEL,0.25,112.450195,2.3499985,
SALZERELEC,7.699997,0.100000024,1.8499985,
SAMBHAAV,0.14999986,8.800003,2.8499985,
SANCO,1.5,14.100006,16.0,
SANDESH,17.0,1.3500004,2.8999996,
SANDHAR,11.850006,0.20000076,5.349991,
SANGAMIND,3.4500008,30.200012,0.050000012,
SANGHIIND,0.95000076,3.6500015,0.25,
SANGHVIFOR,1.1000004,8.800003,7.0999985,
SANGHVIMOV,3.800003,13.400009,0.0,
SANGINITA,2.0,2.8099976,5.0,
SANOFI,57.0,27.700012,0.39999962,
SANWARIA,0.100000024,11.100006,6.8700104,
SARDAEN,17.949997,99.0,20.850098,
SAREGAMA,7.25,69.0,5.699997,
SARLAPOLY,1.1999989,0.0,3.2000122,
SARVESHWAR,0.0,0.049999997,3.1799927,
SASKEN,29.950012,88.6499,0.099999964,
SASTASUNDR,5.75,4.25,4.1500015,
SATIA,11.899994,3.2000046,0.0,
SATIN,3.899994,1.5999985,28.0,
SBIETFQLTY,2.4899979,5.550003,40.0,
SBILIFE,24.150024,19.799988,25.0,
SBIN,4.1500244,0.0,35.0,
SBIN,20.09961,4.699997,0.0,
SBIN,158.0,0.050000012,27.0,
SBIN,0.0,0.20000005,308.0,
SCAPDVR,0.049999997,7.5999985,33.98999,
SCHAEFFLER,139.9502,0.0,0.0,
SCHAND,3.300003,4.199997,37.0,
SCHNEIDER,4.199997,0.95000076,22.0,
SCI,2.25,13.599991,0.0,
SDBL,2.8499985,44.05005,19.0,
SEAMECLTD,18.950012,0.8199997,33.44995,
SECURCRED,0.0,3.0,0.0,
SELAN,4.800003,6.880005,100.0,
SELMCL,0.100000024,0.049999952,2.0,
SEPOWER,0.4000001,6.449997,0.0,
SEQUENT,3.3499985,0.0,0.0,
SERVOTECH,0.5,49.400024,1.0,
SESHAPAPER,7.949997,48.899902,37.98999,
SETCO,0.5,5.5,129.0,
SETF10GILT,4.7100067,5.0,32.98999,
SETFGOLD,30.0,90.0,50.0,
SETFNIF50,0.8600006,22.0,0.4500003,
SETFNIFBK,3.8099976,0.100097656,0.8000002,
SETFNN50,2.2000122,0.0,14.450012,
SETUINFRA,0.099999964,35.0,4.5499954,
SEYAIND,5.449997,26.0,5.5,
SEZAL,0.0,0.0,14.75,
SFL,47.0,0.0,1.300003,
SGBAUG24,42.80005,26.0,15.5,
SGBAUG27,15.0,23.51001,21.599976,
SGBDC27VII,99.0,59.0,3.880005,
SGBFEB24,59.0,25.0,14.650009,
SGBJ28VIII,119.0,0.0,8.100006,
SGBJAN26,0.0,0.0,10.649994,
SGBJUL25,39.0,0.0,0.0,
SGBMAR24,50.0,23.0,1.3999996,
SGBMAR25,18.0,44.98999,1.5499992,
SGBMAY25,15.5,0.0,14.150002,
SGBMAY26,0.0,0.0,3.0999985,
SGBNOV23,41.0,25.0,5.899994,
SGBNOV24,25.0,10.0,1.6000004,
SGBNOV25,174.98999,34.899902,855.3496,
SGBNOV25VI,0.0,0.35000038,7.050003,
SGBNOV26,2.0,0.34999943,0.25,
SGBOCT25,27.330078,9.200012,1.75,
SGBOCT25IV,10.0,6.6500015,8.799995,
SGBOCT26,0.0,6.3499985,3.300003,
SGBOCT27,239.0,13.0,25.450012,
SGBOCT27VI,234.0,3.0999985,40.0,
SGBSEP24,19.0,16.149994,0.25,
SGBSEP27,1.0,26.200012,0.049999952,
SGL,0.4500003,0.5,0.95000076,
SHAHALLOYS,0.5,10.550003,0.0,
SHAKTIPUMP,9.099991,11.900009,42.0,
SHALBY,19.5,11.399994,1.6500015,
SHALPAINTS,7.9000015,0.0,0.40000057,
SHANKARA,11.799988,1.3500004,9.949997,
SHANTIGEAR,2.449997,0.70000076,0.3499999,
SHARDACROP,19.949997,6.2000046,3.800003,
SHARDAMOTR,16.899963,3.449997,0.050000012,
SHARIABEES,0.54000854,8.899994,25.400024,
SHEMAROO,5.949997,1.6000004,65.44998,
SHIL,9.300003,369.80078,0.099999905,
SHILPAMED,17.450012,5.699997,4.350006,
SHIRPUR-G,1.6999989,0.3499999,0.8999996,
SHIVAMAUTO,0.95000076,1.7999992,30.0,
SHIVAMILLS,1.2999992,4.7999954,0.3499999,
SHIVATEX,4.9000015,6.6500015,7.25,
SHK,3.9000015,4.0,2.6000023,
SHOPERSTOP,12.949982,38.80005,0.15000153,
SHREDIGCEM,1.5,0.25,3.7000046,
SHREECEM,573.9004,0.75,11.900024,
SHREEPUSHK,7.949997,0.3000002,0.1,
SHREERAMA,0.39999962,1.7000008,9.5,
SHRENIK,2.7999992,0.0,1.9500008,
SHREYANIND,2.800003,30.900024,0.45000076,
SHREYAS,6.800003,0.80000114,13.200012,
SHRIPISTON,13.0,0.8000002,9.799988,
SHRIRAMCIT,38.94995,7.199997,57.05005,
SHRIRAMEPC,0.25,0.3499999,0.0,
SHUBHLAXMI,2.1500015,0.0,7.349991,
SHYAMCENT,0.20000005,0.5,0.29999995,
SHYAMTEL,0.0,0.050000012,2.1500006,
SICAGEN,0.8500004,11.899994,0.6999998,
SICAL,1.0499992,24.700012,16.75,
SIEMENS,49.099976,0.099999905,6.4000015,
SIGIND,0.45000076,8.200012,23.900024,
SIL,0.70000076,0.54999924,0.25,
SILINV,4.149994,67.0,1.3999996,
SIMBHALS,0.3499999,0.0,11.900009,
SIMPLEXINF,0.0,1.8499985,56.0,
SINTERCOM,0.30000305,1.6500015,13.75,
SINTEX,0.050000012,1.25,2.5,
SIRCA,11.399994,8.650002,6.9000015,
SIS,23.400024,13.849976,0.050000012,
SITINET,0.049999952,0.1,2.1499996,
SIYSIL,6.899994,13.350006,1.6500015,
SJVN,0.45000076,2.1500015,0.5,
SKFINDIA,56.0,0.45000076,0.4499998,
SKIL,0.2999997,11.450012,0.05000007,
SKIPPER,1.1500015,16.0,0.0,
SKMEGGPROD,1.2000008,22.0,4.149994,
SMARTLINK,1.3999939,6.650009,0.0,
SMLISUZU,21.799988,0.049999952,89.900024,
SMPL,0.050000004,0.8500004,29.0,
SMSLIFE,6.0,9.199982,0.5999994,
SMSPHARMA,2.3500023,7.199997,8.0,
SMVD,0.0,23.950012,10.0,
SNOWMAN,0.3500023,0.34999943,0.0,
SOBHA,5.25,2.6000004,0.0,
SOFTTECH,0.05000305,6.75,16.799988,
SOLARA,23.700012,24.049988,89.0,
SOLARINDS,62.44995,10.399994,5.0,
SOMANYCERA,6.449997,0.049999952,11.75,
SOMATEX,0.14999986,3.75,38.299927,
SOMICONVEY,1.0999994,6.75,5.5,
SONAHISONA,1.8999996,0.099999994,0.0,
SONAMCLOCK,0.0,1.4500008,23.640015,
SONATSOFTW,7.899994,3.399994,0.0,
SORILINFRA,9.549995,3.4000015,0.0,
SOTL,14.349976,0.8500004,10.0,
SOUTHBANK,0.19999981,0.100000024,13.0,
SOUTHWEST,0.6000004,0.050000012,2.3000488,
SPAL,4.25,4.399994,1.3499756,
SPANDANA,125.0,94.900024,0.049987793,
SPARC,8.0,49.919983,0.0,
SPECIALITY,3.1500015,36.0,15.650024,
SPENCERS,3.7000046,0.099975586,0.0,
SPENTEX,0.049999982,1.0,3.7999878,
SPIC,0.6499996,19.0,8.800049,
SPICEJET,2.050003,82.0,3.0500488,
SPLIL,1.550003,0.0,9.950012,
SPMLINFRA,0.6999998,27.200012,0.049987793,
SPTL,0.100000024,82.25,10.039978,
SPYL,0.050000012,9.400002,0.0,
SREEL,6.449997,9.050003,79.95001,
SREIBNPNCD,0.0,78.29993,0.0,
SREIBNPNCD,0.0,0.0,1.8499756,
SREIBNPNCD,0.0,0.0,0.0,
SREIBNPNCD,0.0,0.0,0.0,
SREINFRA,0.39999962,12.950012,16.549988,
SREINFRA,0.0,0.0,0.099999994,
SREINFRA,40.0,1.0,3.300003,
SREINFRA,1.0100098,8.0,11.350006,
SRF,52.850098,29.0,6.949997,
SRHHYPOLTD,5.199997,0.0,4.649994,
SRIPIPES,14.5,21.0,1.9500008,
SRTRANSFIN,36.19995,0.049987793,1.2000008,
SRTRANSFIN,29.599976,13.700012,2.3000011,
SRTRANSFIN,4.5,0.0,2.5,
SRTRANSFIN,1.0599976,0.0,6.149994,
SRTRANSFIN,12.700012,70.349976,0.3499999,
SRTRANSFIN,0.0,0.0,3.75,
SRTRANSFIN,12.900024,0.0,0.3499999,
SRTRANSFIN,3.9000244,0.0,0.35000038,
SRTRANSFIN,30.0,0.0,10.800003,
SRTRANSFIN,0.0,41.29004,17.199982,
SRTRANSFIN,0.539917,0.0,0.1,
SRTRANSFIN,0.0,0.9500122,0.099999905,
SRTRANSFIN,0.0,0.0,19.300003,
SRTRANSFIN,29.799988,0.0,0.8500004,
SRTRANSFIN,21.20996,0.0,23.0,
SRTRANSFIN,0.0,7.7000732,73.55005,
SRTRANSFIN,22.75,0.0,0.25,
SRTRANSFIN,0.0,12.900024,32.400024,
SRTRANSFIN,9.950012,0.049999982,2.649994,
SRTRANSFIN,16.950012,2.6500015,18.450012,
SRTRANSFIN,25.450012,37.0,7.700012,
SRTRANSFIN,2.0100098,2.699997,1.8500023,
SRTRANSFIN,27.25,4.649994,12.75,
SRTRANSFIN,0.0,1.9500008,7.399994,
SRTRANSFIN,0.0,1.4500008,25.350006,
SRTRANSFIN,0.0,0.35000038,3.949997,
SRTRANSFIN,0.0,2.4000015,0.14999986,
SRTRANSFIN,1.1500244,9.149994,8.149994,
SRTRANSFIN,0.0,0.20000029,5.949997,
SSINFRA,0.25,4.9000015,1.8000011,
SSWL,24.850037,0.0,45.55005,
STAMPEDE,0.099999994,0.20000029,0.0,
STAN,3.9500008,7.0,0.6999998,
STAR,13.649994,27.899994,0.20000029,
STARCEMENT,2.2000046,0.1,0.0,
STARPAPER,7.1500015,0.100000024,3.4500008,
STCINDIA,2.0999985,5.25,8.0,
STEELCITY,1.2000008,0.19999886,1.2999992,
STEELXIND,2.0500011,14.149994,0.0,
STEL,2.6500015,65.0,0.10000014,
STERTOOLS,8.050003,0.14999998,0.0,
STINDIA,0.4000001,32.94995,5.9000015,
STRTECH,4.400009,2.0,79.900024,
SUBCAPCITY,0.0,28.100006,12.0,
SUBEX,0.1500001,20.399994,13.25,
SUBROS,16.399994,0.8500023,43.0,
SUDARSCHEM,9.399994,13.450012,0.100000024,
SUJANAUNI,0.1,7.450012,1.6499996,
SUMEETINDS,0.05000007,10.950012,4.75,
SUMICHEM,10.050003,4.25,9.0,
SUMIT,1.6999989,0.29999995,13.050003,
SUMMITSEC,21.950012,6.0,1.4000015,
SUNCLAYLTD,67.6499,6.75,9.199997,
SUNDARAM,0.29999995,0.75,0.099999905,
SUNDARMFIN,37.25,42.75,0.099999905,
SUNDARMHLD,5.699997,2.2000008,3.5,
SUNDRMBRAK,13.950012,0.5500002,0.0,
SUNDRMFAST,12.899994,0.29999995,2.5499992,
SUNFLAG,1.6500015,0.0,0.049999952,
SUNPHARMA,7.299988,1.6500015,1.2999992,
SUNTECK,9.649994,4.649994,379.9502,
SUNTV,10.0,1.0999985,0.5,
SUPERHOUSE,7.4000015,0.0,2.9500122,
SUPERSPIN,0.1500001,0.099999905,14.299988,
SUPPETRO,3.5,0.0,3.4000015,
SUPRAJIT,3.75,7.550003,12.050018,
SUPREMEENG,4.8999996,48.400024,24.700012,
SUPREMEIND,23.699951,5.75,6.649994,
SUPREMEINF,0.0,8.75,33.400024,
SURANASOL,0.6000004,41.299927,16.5,
SURANAT&P,0.5500002,0.0,12.400009,
SUREVIN,0.0,0.6499996,4.800003,
SURYALAXMI,1.0,6.3499756,3.0,
SURYAROSNI,5.299988,9.5,2.300003,
SUTLEJTEX,1.4000015,5.300003,17.799988,
SUVEN,0.0,4.949997,0.94999886,
SUZLON,0.099999905,7.25,10.399994,
SVLL,0.0,0.1500001,2.5499992,
SWANENERGY,5.0,0.20000005,2.5,
SWARAJENG,74.0,3.6500015,0.0,
SWELECTES,8.849991,0.100000024,2.4899902,
SWSOLAR,5.75,2.1000004,0.0,
SYMPHONY,22.199951,535.0,6.600006,
SYNCOM,0.0,1.0,4.399994,
SYNDIBANK,1.1000004,1.1900024,36.0,
SYNGENE,8.449982,0.2999878,0.5499997,
TAINWALCHM,13.649998,0.0,36.400024,
TAJGVK,13.0,9.700012,22.449982,
TAKE,2.5999985,4.949997,72.75,
TALBROAUTO,5.399994,23.5,4.0,
TALWALKARS,0.1500001,27.0,89.0,
TALWGYM,0.1500001,5.649994,19.5,
TANLA,4.350006,55.799988,12.899994,
TARMAT,1.7000008,21.650024,1.75,
TASTYBITE,144.9502,8.300003,2.2999954,
TATACAPHSG,0.0,3.75,2.6499996,
TATACAPHSG,0.0,2.5499992,2.3500023,
TATACAPHSG,0.099975586,3.25,2.25,
TATACAPHSG,0.0,13.050018,5.200001,
TATACAPHSG,0.27001953,0.8999996,2.800003,
TATACHEM,20.150024,21.0,0.25,
TATACOFFEE,5.2000046,1.3499985,0.1500001,
TATACOMM,19.649994,0.0,39.549988,
TATAELXSI,36.900024,2.5,6.3499985,
TATAGLOBAL,11.049988,2.9499512,0.049987793,
TATAINVEST,18.850037,10.200073,8.700012,
TATAMETALI,12.0,0.0,48.900024,
TATAMOTORS,10.349991,8.48999,0.0,
TATAMTRDVR,3.4000015,20.350006,6.299999,
TATAPOWER,1.5999985,23.549988,21.200012,
TATASTEEL,1.75,38.799988,1.25,
TATASTEEL,10.100006,0.34999943,103.700195,
TATASTLBSL,0.6499996,25.0,12.5,
TATASTLLP,11.350006,11.049988,17.0,
TBZ,0.94999695,40.0,0.4499998,
TCFSL,0.0,3.600006,18.450012,
TCFSL,3.9899902,53.19995,1.2000008,
TCFSL,1.0,23.950012,2.4000015,
TCFSL,0.0,11.600006,41.099976,
TCFSL,8.0,2.0499992,5.850006,
TCFSL,1.0,4.5,10.849998,
TCFSL,0.0,2.4500008,2.5999985,
TCI,7.350006,3.75,0.0,
TCIDEVELOP,10.450012,0.6499996,14.800049,
